Pai?,cod uf,ano,Mês,Chegadas
South Africa,1,2016,january,1
Egypt,1,2016,january,2
Costa Rica,1,2016,january,2
Cuba,1,2016,january,3
Canada,1,2016,january,1
United States,1,2016,january,4
Mexico,1,2016,january,5
Argentina,1,2016,january,14
Bolivia,1,2016,january,1110
Chile,1,2016,january,10
Colombia,1,2016,january,20
Ecuador,1,2016,january,8
Peru,1,2016,january,1568
United Kingdom,1,2016,january,1
Venezuela,1,2016,january,5
Philippines,1,2016,january,1
Israel,1,2016,january,2
Japan,1,2016,january,2
Thailand,1,2016,january,2
Germany,1,2016,january,4
Austria,1,2016,january,2
Belgium,1,2016,january,1
Spain,1,2016,january,8
Estonia,1,2016,january,1
Finland,1,2016,january,2
France,1,2016,january,10
Netherlands,1,2016,january,3
Ireland,1,2016,january,1
Italy,1,2016,january,10
Poland,1,2016,january,2
Portugal,1,2016,january,7
United Kingdom,1,2016,january,6
Romania,1,2016,january,1
Russia,1,2016,january,1
Sweden,1,2016,january,3
Ukraine,1,2016,january,2
Costa Rica,1,2016,february,2
El Salvador,1,2016,february,2
Dominican Republic,1,2016,february,1
Canada,1,2016,february,1
United States,1,2016,february,3
Mexico,1,2016,february,3
Argentina,1,2016,february,18
Bolivia,1,2016,february,749
Chile,1,2016,february,24
Colombia,1,2016,february,21
Ecuador,1,2016,february,4
Paraguay,1,2016,february,1
Peru,1,2016,february,1505
Uruguay,1,2016,february,1
Venezuela,1,2016,february,10
China,1,2016,february,1
Israel,1,2016,february,2
Japan,1,2016,february,2
Malaysia,1,2016,february,1
Germany,1,2016,february,15
Austria,1,2016,february,1
Belgium,1,2016,february,3
Bulgaria,1,2016,february,1
Spain,1,2016,february,3
Finland,1,2016,february,3
France,1,2016,february,9
Greece,1,2016,february,1
Netherlands,1,2016,february,1
Ireland,1,2016,february,1
Italy,1,2016,february,5
Norway,1,2016,february,1
Poland,1,2016,february,3
Portugal,1,2016,february,3
United Kingdom,1,2016,february,2
Sweden,1,2016,february,2
Turkey,1,2016,february,2
Ukraine,1,2016,february,2
Australia,1,2016,february,2
New Zealand,1,2016,february,1
South Africa,1,2016,march,1
Ghana,1,2016,march,3
Nigeria,1,2016,march,1
Cuba,1,2016,march,3
Canada,1,2016,march,3
United States,1,2016,march,5
Mexico,1,2016,march,10
Argentina,1,2016,march,14
Bolivia,1,2016,march,794
Chile,1,2016,march,19
Colombia,1,2016,march,16
Ecuador,1,2016,march,17
Paraguay,1,2016,march,3
Peru,1,2016,march,1346
Venezuela,1,2016,march,8
Israel,1,2016,march,1
Japan,1,2016,march,2
Germany,1,2016,march,18
Austria,1,2016,march,3
Spain,1,2016,march,17
Finland,1,2016,march,1
France,1,2016,march,10
Greece,1,2016,march,1
Italy,1,2016,march,5
Norway,1,2016,march,3
Poland,1,2016,march,3
Portugal,1,2016,march,3
United Kingdom,1,2016,march,5
Sweden,1,2016,march,4
Switzerland,1,2016,march,1
Ukraine,1,2016,march,3
Australia,1,2016,march,4
South Africa,1,2016,april,1
Cape Verde,1,2016,april,1
Guatemala,1,2016,april,1
Canada,1,2016,april,1
United States,1,2016,april,1
Mexico,1,2016,april,6
Argentina,1,2016,april,11
Bolivia,1,2016,april,679
Chile,1,2016,april,13
Colombia,1,2016,april,16
Ecuador,1,2016,april,11
Paraguay,1,2016,april,1
Peru,1,2016,april,906
Uruguay,1,2016,april,2
Venezuela,1,2016,april,3
China,1,2016,april,3
Israel,1,2016,april,2
Thailand,1,2016,april,1
Germany,1,2016,april,2
Austria,1,2016,april,1
Belgium,1,2016,april,2
Spain,1,2016,april,8
Finland,1,2016,april,1
France,1,2016,april,5
Netherlands,1,2016,april,4
Ireland,1,2016,april,1
Italy,1,2016,april,6
Lithuania,1,2016,april,1
Poland,1,2016,april,2
Portugal,1,2016,april,2
United Kingdom,1,2016,april,4
Czech Republic,1,2016,april,1
Romania,1,2016,april,1
Australia,1,2016,april,1
Ghana,1,2016,may,1
Costa Rica,1,2016,may,2
Cuba,1,2016,may,1
El Salvador,1,2016,may,1
United States,1,2016,may,2
Mexico,1,2016,may,1
Argentina,1,2016,may,18
Bolivia,1,2016,may,757
Chile,1,2016,may,13
Colombia,1,2016,may,22
Ecuador,1,2016,may,10
Paraguay,1,2016,may,1
Peru,1,2016,may,913
Uruguay,1,2016,may,2
Venezuela,1,2016,may,2
China,1,2016,may,1
Hong Kong,1,2016,may,1
Cingapura,1,2016,may,1
Philippines,1,2016,may,1
India,1,2016,may,1
Israel,1,2016,may,3
Germany,1,2016,may,10
Austria,1,2016,may,1
Belgium,1,2016,may,2
Bulgaria,1,2016,may,1
Spain,1,2016,may,7
France,1,2016,may,3
Ireland,1,2016,may,3
Italy,1,2016,may,2
Poland,1,2016,may,1
Portugal,1,2016,may,2
United Kingdom,1,2016,may,4
Czech Republic,1,2016,may,1
Russia,1,2016,may,1
Switzerland,1,2016,may,3
Ukraine,1,2016,may,2
New Zealand,1,2016,may,2
South Africa,1,2016,june,3
Costa Rica,1,2016,june,1
Guatemala,1,2016,june,1
Canada,1,2016,june,1
United States,1,2016,june,20
Mexico,1,2016,june,2
Argentina,1,2016,june,28
Bolivia,1,2016,june,607
Chile,1,2016,june,36
Colombia,1,2016,june,21
Ecuador,1,2016,june,7
Guyana,1,2016,june,1
Paraguay,1,2016,june,1
Peru,1,2016,june,813
Uruguay,1,2016,june,2
Venezuela,1,2016,june,8
Philippines,1,2016,june,1
Israel,1,2016,june,1
Germany,1,2016,june,13
Bulgaria,1,2016,june,1
Slovakia,1,2016,june,1
Spain,1,2016,june,5
Estonia,1,2016,june,1
Finland,1,2016,june,2
France,1,2016,june,6
Greece,1,2016,june,1
Netherlands,1,2016,june,4
Italy,1,2016,june,4
Norway,1,2016,june,1
Poland,1,2016,june,2
Portugal,1,2016,june,2
United Kingdom,1,2016,june,8
Russia,1,2016,june,2
Switzerland,1,2016,june,2
Ukraine,1,2016,june,1
South Africa,1,2016,july,2
Costa Rica,1,2016,july,3
Haiti,1,2016,july,1
Canada,1,2016,july,2
United States,1,2016,july,17
Mexico,1,2016,july,5
Argentina,1,2016,july,34
Bolivia,1,2016,july,1032
Chile,1,2016,july,23
Colombia,1,2016,july,41
Ecuador,1,2016,july,19
Guyana,1,2016,july,2
Paraguay,1,2016,july,4
Peru,1,2016,july,1896
Uruguay,1,2016,july,2
Venezuela,1,2016,july,8
Japan,1,2016,july,1
Germany,1,2016,july,13
Denmark,1,2016,july,1
Spain,1,2016,july,10
France,1,2016,july,18
Netherlands,1,2016,july,3
Ireland,1,2016,july,2
Italy,1,2016,july,3
Luxembourg,1,2016,july,1
Norway,1,2016,july,3
Poland,1,2016,july,1
United Kingdom,1,2016,july,4
Russia,1,2016,july,6
Serbia,1,2016,july,1
Sweden,1,2016,july,4
Switzerland,1,2016,july,7
Ukraine,1,2016,july,1
Australia,1,2016,july,2
Costa Rica,1,2016,august,1
Cuba,1,2016,august,1
Honduras,1,2016,august,1
Canada,1,2016,august,10
United States,1,2016,august,9
Mexico,1,2016,august,3
Argentina,1,2016,august,33
Bolivia,1,2016,august,763
Chile,1,2016,august,27
Colombia,1,2016,august,49
Ecuador,1,2016,august,7
Peru,1,2016,august,1587
Uruguay,1,2016,august,1
Venezuela,1,2016,august,24
China,1,2016,august,1
Philippines,1,2016,august,2
India,1,2016,august,1
Japan,1,2016,august,1
Thailand,1,2016,august,1
Germany,1,2016,august,16
Austria,1,2016,august,2
Belgium,1,2016,august,2
Slovakia,1,2016,august,2
Spain,1,2016,august,15
Estonia,1,2016,august,1
France,1,2016,august,8
Netherlands,1,2016,august,3
Hungary,1,2016,august,1
Italy,1,2016,august,15
Lithuania,1,2016,august,2
Luxembourg,1,2016,august,1
Portugal,1,2016,august,5
United Kingdom,1,2016,august,2
Czech Republic,1,2016,august,2
Russia,1,2016,august,5
Sweden,1,2016,august,2
Switzerland,1,2016,august,7
Australia,1,2016,august,3
South Africa,1,2016,september,1
Guatemala,1,2016,september,1
Haiti,1,2016,september,1
Canada,1,2016,september,2
United States,1,2016,september,11
Mexico,1,2016,september,1
Argentina,1,2016,september,46
Bolivia,1,2016,september,621
Chile,1,2016,september,20
Colombia,1,2016,september,24
Ecuador,1,2016,september,9
Peru,1,2016,september,1153
Uruguay,1,2016,september,2
Venezuela,1,2016,september,12
China,1,2016,september,2
Israel,1,2016,september,1
Pakistan,1,2016,september,1
Germany,1,2016,september,9
Austria,1,2016,september,1
Spain,1,2016,september,9
France,1,2016,september,2
Netherlands,1,2016,september,1
Hungary,1,2016,september,3
Ireland,1,2016,september,1
Italy,1,2016,september,2
Poland,1,2016,september,1
Portugal,1,2016,september,5
United Kingdom,1,2016,september,6
Sweden,1,2016,september,1
Switzerland,1,2016,september,2
Australia,1,2016,september,4
New Zealand,1,2016,september,2
Cuba,1,2016,october,1
Canada,1,2016,october,4
United States,1,2016,october,12
Mexico,1,2016,october,6
Argentina,1,2016,october,28
Bolivia,1,2016,october,673
Chile,1,2016,october,17
Colombia,1,2016,october,22
Ecuador,1,2016,october,8
Paraguay,1,2016,october,2
Peru,1,2016,october,1324
Uruguay,1,2016,october,3
Venezuela,1,2016,october,6
China,1,2016,october,3
Philippines,1,2016,october,1
Germany,1,2016,october,11
Austria,1,2016,october,1
Belgium,1,2016,october,3
Denmark,1,2016,october,1
Spain,1,2016,october,5
Estonia,1,2016,october,7
France,1,2016,october,11
Netherlands,1,2016,october,1
Hungary,1,2016,october,1
Italy,1,2016,october,7
Latvia,1,2016,october,1
Portugal,1,2016,october,2
United Kingdom,1,2016,october,8
Russia,1,2016,october,1
Switzerland,1,2016,october,3
Turkey,1,2016,october,2
Australia,1,2016,october,2
New Zealand,1,2016,october,1
South Africa,1,2016,november,1
Panama,1,2016,november,1
United States,1,2016,november,4
Mexico,1,2016,november,3
Argentina,1,2016,november,17
Bolivia,1,2016,november,620
Chile,1,2016,november,7
Colombia,1,2016,november,14
Ecuador,1,2016,november,10
Paraguay,1,2016,november,1
Peru,1,2016,november,1013
Uruguay,1,2016,november,2
Venezuela,1,2016,november,3
Germany,1,2016,november,2
Austria,1,2016,november,1
Belgium,1,2016,november,1
Denmark,1,2016,november,2
Spain,1,2016,november,9
France,1,2016,november,13
Netherlands,1,2016,november,1
Hungary,1,2016,november,1
Ireland,1,2016,november,2
Italy,1,2016,november,5
Poland,1,2016,november,3
Portugal,1,2016,november,1
United Kingdom,1,2016,november,5
Czech Republic,1,2016,november,1
Russia,1,2016,november,1
Switzerland,1,2016,november,3
Turkey,1,2016,november,1
Ukraine,1,2016,november,2
South Africa,1,2016,december,4
Cuba,1,2016,december,2
United States,1,2016,december,6
Mexico,1,2016,december,7
Argentina,1,2016,december,38
Bolivia,1,2016,december,1313
Chile,1,2016,december,21
Colombia,1,2016,december,50
Ecuador,1,2016,december,9
Peru,1,2016,december,1180
Uruguay,1,2016,december,1
Venezuela,1,2016,december,5
Iran,1,2016,december,1
Israel,1,2016,december,4
South Korea,1,2016,december,1
Germany,1,2016,december,4
Austria,1,2016,december,2
Belgium,1,2016,december,1
Denmark,1,2016,december,1
Spain,1,2016,december,12
France,1,2016,december,6
Netherlands,1,2016,december,1
Italy,1,2016,december,7
Portugal,1,2016,december,2
United Kingdom,1,2016,december,2
Russia,1,2016,december,2
Serbia,1,2016,december,2
Sweden,1,2016,december,4
Switzerland,1,2016,december,4
New Zealand,1,2016,december,2
China,3,2016,april,3
Paraguay,3,2016,july,1
France,3,2016,september,37
Argentina,3,2016,november,2
Uruguay,3,2016,november,1
Peru,3,2016,september,4
Colombia,3,2016,november,6
Guyana,3,2016,november,4
Peru,3,2016,november,2
Venezuela,3,2016,november,2
Japan,3,2016,november,2
Spain,3,2016,november,2
France,3,2016,november,245
Greece,3,2016,november,2
United Kingdom,3,2016,november,2
Haiti,3,2016,january,1
Argentina,3,2016,january,3
Bolivia,3,2016,january,1
Chile,3,2016,january,3
Colombia,3,2016,january,4
Ecuador,3,2016,january,1
Peru,3,2016,january,15
Uruguay,3,2016,january,2
Venezuela,3,2016,january,3
Japan,3,2016,january,1
Germany,3,2016,january,7
Belgium,3,2016,january,2
Spain,3,2016,january,3
France,3,2016,january,383
Netherlands,3,2016,january,1
Italy,3,2016,january,1
Poland,3,2016,january,2
Portugal,3,2016,january,2
Switzerland,3,2016,january,1
South Africa,3,2016,february,3
Haiti,3,2016,february,2
Canada,3,2016,february,2
United States,3,2016,february,7
Argentina,3,2016,february,10
Colombia,3,2016,february,3
Guyana,3,2016,february,1
Peru,3,2016,february,14
Suriname,3,2016,february,3
Venezuela,3,2016,february,1
India,3,2016,february,1
Germany,3,2016,february,8
Austria,3,2016,february,1
Belgium,3,2016,february,5
Denmark,3,2016,february,1
Spain,3,2016,february,4
France,3,2016,february,892
Netherlands,3,2016,february,6
Ireland,3,2016,february,6
Italy,3,2016,february,3
Norway,3,2016,february,28
Poland,3,2016,february,1
Portugal,3,2016,february,7
United Kingdom,3,2016,february,1328
Romania,3,2016,february,1
Sweden,3,2016,february,10
Switzerland,3,2016,february,6
Turkey,3,2016,february,1
Haiti,3,2016,march,3
Canada,3,2016,march,4
United States,3,2016,march,4
Argentina,3,2016,march,2
Chile,3,2016,march,1
Colombia,3,2016,march,1
Guyana,3,2016,march,2
Peru,3,2016,march,10
Suriname,3,2016,march,1
Venezuela,3,2016,march,1
China,3,2016,march,20
Philippines,3,2016,march,2
India,3,2016,march,2
Germany,3,2016,march,8
Belgium,3,2016,march,6
Bulgaria,3,2016,march,4
Denmark,3,2016,march,3
France,3,2016,march,633
Greece,3,2016,march,4
Netherlands,3,2016,march,3
Ireland,3,2016,march,8
Italy,3,2016,march,6
Luxembourg,3,2016,march,2
Norway,3,2016,march,1
Poland,3,2016,march,4
Portugal,3,2016,march,9
United Kingdom,3,2016,march,644
Sweden,3,2016,march,1
Australia,3,2016,march,1
Ghana,3,2016,april,1
Cuba,3,2016,april,1
Haiti,3,2016,april,4
United States,3,2016,april,1
Argentina,3,2016,april,2
Colombia,3,2016,april,4
Guyana,3,2016,april,4
Peru,3,2016,april,18
Suriname,3,2016,april,1
Venezuela,3,2016,april,2
India,3,2016,april,4
Germany,3,2016,april,4
Belgium,3,2016,april,1
Spain,3,2016,april,3
Finland,3,2016,april,1
France,3,2016,april,836
Greece,3,2016,april,1
Netherlands,3,2016,april,6
Italy,3,2016,april,4
Lithuania,3,2016,april,5
Poland,3,2016,april,5
Portugal,3,2016,april,1
United Kingdom,3,2016,april,5
Romania,3,2016,april,2
New Zealand,3,2016,april,2
Haiti,3,2016,may,3
Panama,3,2016,may,1
Dominican Republic,3,2016,may,1
Argentina,3,2016,may,1
Colombia,3,2016,may,8
Guyana,3,2016,may,2
Peru,3,2016,may,6
Suriname,3,2016,may,1
Venezuela,3,2016,may,3
Germany,3,2016,may,8
Belgium,3,2016,may,2
Spain,3,2016,may,1
France,3,2016,may,492
Netherlands,3,2016,may,6
Italy,3,2016,may,1
Luxembourg,3,2016,may,1
Portugal,3,2016,may,7
United Kingdom,3,2016,may,1
Romania,3,2016,may,1
Switzerland,3,2016,may,2
Ukraine,3,2016,may,2
United States,3,2016,june,1
Argentina,3,2016,june,2
Colombia,3,2016,june,9
Guyana,3,2016,june,4
Paraguay,3,2016,june,1
Peru,3,2016,june,11
Uruguay,3,2016,june,1
Venezuela,3,2016,june,3
Germany,3,2016,june,3
Belgium,3,2016,june,2
Croatia,3,2016,june,1
France,3,2016,june,556
Greece,3,2016,june,3
Netherlands,3,2016,june,1
Italy,3,2016,june,2
Lithuania,3,2016,june,1
Portugal,3,2016,june,1
Romania,3,2016,june,3
Tunisia,3,2016,july,1
United States,3,2016,july,4
Argentina,3,2016,july,1
Bolivia,3,2016,july,6
Colombia,3,2016,july,9
Guyana,3,2016,july,2
Peru,3,2016,july,52
Suriname,3,2016,july,1
Venezuela,3,2016,july,3
India,3,2016,july,2
Germany,3,2016,july,3
Belgium,3,2016,july,14
Denmark,3,2016,july,1
Spain,3,2016,july,6
France,3,2016,july,1486
Netherlands,3,2016,july,5
Italy,3,2016,july,6
Luxembourg,3,2016,july,1
Norway,3,2016,july,1
Portugal,3,2016,july,4
United Kingdom,3,2016,july,2
Switzerland,3,2016,july,2
Australia,3,2016,july,1
Dominican Republic,3,2016,august,1
United States,3,2016,august,4
Bolivia,3,2016,august,1
Colombia,3,2016,august,10
Guyana,3,2016,august,4
Peru,3,2016,august,4
Suriname,3,2016,august,7
Venezuela,3,2016,august,3
Israel,3,2016,august,1
South Korea,3,2016,august,1
Thailand,3,2016,august,1
Germany,3,2016,august,16
Austria,3,2016,august,1
Belgium,3,2016,august,3
Slovakia,3,2016,august,1
Spain,3,2016,august,6
France,3,2016,august,1922
Greece,3,2016,august,1
Netherlands,3,2016,august,13
Italy,3,2016,august,3
Poland,3,2016,august,1
Portugal,3,2016,august,3
United Kingdom,3,2016,august,2
Romania,3,2016,august,1
Russia,3,2016,august,1
Switzerland,3,2016,august,1
New Zealand,3,2016,august,2
Colombia,3,2016,september,1
Guyana,3,2016,september,1
Peru,3,2016,september,8
Venezuela,3,2016,september,1
Malaysia,3,2016,september,1
Germany,3,2016,september,4
Belgium,3,2016,september,5
Bulgaria,3,2016,september,1
Spain,3,2016,september,1
France,3,2016,september,536
Greece,3,2016,september,1
Netherlands,3,2016,september,5
Italy,3,2016,september,2
Poland,3,2016,september,1
Portugal,3,2016,september,4
United Kingdom,3,2016,september,2
Switzerland,3,2016,september,4
Australia,3,2016,september,1
Costa Rica,3,2016,october,2
Canada,3,2016,october,2
United States,3,2016,october,30
Argentina,3,2016,october,4
Bolivia,3,2016,october,2
Colombia,3,2016,october,2
Peru,3,2016,october,3
Suriname,3,2016,october,1
Uruguay,3,2016,october,1
Venezuela,3,2016,october,3
Israel,3,2016,october,5
Germany,3,2016,october,7
Belgium,3,2016,october,12
Spain,3,2016,october,2
France,3,2016,october,924
Netherlands,3,2016,october,3
Italy,3,2016,october,1
Norway,3,2016,october,2
Poland,3,2016,october,1
Portugal,3,2016,october,10
United Kingdom,3,2016,october,12
Switzerland,3,2016,october,17
Australia,3,2016,october,4
South Africa,3,2016,november,1
Guatemala,3,2016,november,2
Honduras,3,2016,november,1
Dominican Republic,3,2016,november,2
Trinidad and Tobago,3,2016,november,2
Canada,3,2016,november,160
United States,3,2016,november,559
Mexico,3,2016,november,7
Argentina,3,2016,november,4
Bolivia,3,2016,november,2
Colombia,3,2016,november,2
Peru,3,2016,november,10
Suriname,3,2016,november,3
China,3,2016,november,1
Cingapura,3,2016,november,1
Philippines,3,2016,november,3
India,3,2016,november,1
Indonesia,3,2016,november,4
Israel,3,2016,november,3
Germany,3,2016,november,22
Austria,3,2016,november,2
Belgium,3,2016,november,12
Croatia,3,2016,november,2
Denmark,3,2016,november,2
Slovakia,3,2016,november,1
Spain,3,2016,november,7
France,3,2016,november,757
Greece,3,2016,november,2
Netherlands,3,2016,november,18
Italy,3,2016,november,7
Norway,3,2016,november,1
Poland,3,2016,november,1
Portugal,3,2016,november,6
United Kingdom,3,2016,november,98
Czech Republic,3,2016,november,6
Sweden,3,2016,november,6
Switzerland,3,2016,november,17
Ukraine,3,2016,november,2
Australia,3,2016,november,61
New Zealand,3,2016,november,2
Haiti,3,2016,december,1
Honduras,3,2016,december,1
Canada,3,2016,december,196
United States,3,2016,december,864
Mexico,3,2016,december,4
Argentina,3,2016,december,7
Chile,3,2016,december,2
Colombia,3,2016,december,8
Ecuador,3,2016,december,2
Guyana,3,2016,december,5
Peru,3,2016,december,36
Suriname,3,2016,december,3
Venezuela,3,2016,december,2
China,3,2016,december,2
Cingapura,3,2016,december,1
Philippines,3,2016,december,2
India,3,2016,december,1
Indonesia,3,2016,december,54
Israel,3,2016,december,5
Japan,3,2016,december,2
Malaysia,3,2016,december,1
South Korea,3,2016,december,1
Germany,3,2016,december,49
Austria,3,2016,december,1
Belgium,3,2016,december,15
Croatia,3,2016,december,1
Denmark,3,2016,december,3
Spain,3,2016,december,7
France,3,2016,december,1335
Netherlands,3,2016,december,47
Hungary,3,2016,december,2
Ireland,3,2016,december,4
Italy,3,2016,december,11
Latvia,3,2016,december,1
Lithuania,3,2016,december,2
Poland,3,2016,december,1
Portugal,3,2016,december,14
United Kingdom,3,2016,december,107
Czech Republic,3,2016,december,1
Romania,3,2016,december,4
Russia,3,2016,december,4
Sweden,3,2016,december,8
Switzerland,3,2016,december,11
Turkey,3,2016,december,2
Australia,3,2016,december,29
New Zealand,3,2016,december,5
South Africa,4,2016,january,2
Angola,4,2016,january,2
Morocco,4,2016,january,2
Tunisia,4,2016,january,6
Costa Rica,4,2016,january,11
Cuba,4,2016,january,19
El Salvador,4,2016,january,4
Guatemala,4,2016,january,2
Haiti,4,2016,january,4
Honduras,4,2016,january,6
Nicaragua,4,2016,january,2
Panama,4,2016,january,17
Canada,4,2016,january,141
United States,4,2016,january,1698
Mexico,4,2016,january,53
Argentina,4,2016,january,137
Chile,4,2016,january,2
Colombia,4,2016,january,61
Ecuador,4,2016,january,15
Paraguay,4,2016,january,8
Peru,4,2016,january,38
Venezuela,4,2016,january,1408
China,4,2016,january,17
Cingapura,4,2016,january,2
Philippines,4,2016,january,2
India,4,2016,january,6
Indonesia,4,2016,january,2
Israel,4,2016,january,4
Japan,4,2016,january,90
Malaysia,4,2016,january,2
South Korea,4,2016,january,44
Thailand,4,2016,january,4
Taiwan,4,2016,january,19
Germany,4,2016,january,101
Austria,4,2016,january,19
Belgium,4,2016,january,13
Bulgaria,4,2016,january,6
Denmark,4,2016,january,8
Slovenia,4,2016,january,4
Spain,4,2016,january,74
Estonia,4,2016,january,2
Finland,4,2016,january,11
France,4,2016,january,130
Netherlands,4,2016,january,82
Ireland,4,2016,january,23
Italy,4,2016,january,97
Lithuania,4,2016,january,2
Norway,4,2016,january,11
Poland,4,2016,january,8
Portugal,4,2016,january,141
United Kingdom,4,2016,january,133
Russia,4,2016,january,13
Sweden,4,2016,january,17
Switzerland,4,2016,january,63
Turkey,4,2016,january,36
Ukraine,4,2016,january,2
Australia,4,2016,january,25
New Zealand,4,2016,january,4
South Africa,4,2016,february,2
Cape Verde,4,2016,february,2
Costa Rica,4,2016,february,21
Cuba,4,2016,february,21
Guatemala,4,2016,february,6
Haiti,4,2016,february,2
Honduras,4,2016,february,6
Panama,4,2016,february,34
Dominican Republic,4,2016,february,2
Canada,4,2016,february,78
United States,4,2016,february,1195
Mexico,4,2016,february,63
Argentina,4,2016,february,67
Bolivia,4,2016,february,4
Chile,4,2016,february,4
Colombia,4,2016,february,55
Ecuador,4,2016,february,48
Guyana,4,2016,february,2
Paraguay,4,2016,february,23
Peru,4,2016,february,19
Uruguay,4,2016,february,4
Venezuela,4,2016,february,1159
Saudi Arabia,4,2016,february,2
China,4,2016,february,57
Cingapura,4,2016,february,2
Philippines,4,2016,february,4
Israel,4,2016,february,13
Japan,4,2016,february,84
Lebanon,4,2016,february,2
South Korea,4,2016,february,53
Thailand,4,2016,february,6
Taiwan,4,2016,february,6
Germany,4,2016,february,154
Austria,4,2016,february,17
Belgium,4,2016,february,19
Denmark,4,2016,february,11
Slovakia,4,2016,february,29
Slovenia,4,2016,february,2
Spain,4,2016,february,23
Finland,4,2016,february,13
France,4,2016,february,61
Greece,4,2016,february,2
Netherlands,4,2016,february,55
Hungary,4,2016,february,21
Ireland,4,2016,february,15
Italy,4,2016,february,82
Lithuania,4,2016,february,4
Norway,4,2016,february,4
Poland,4,2016,february,2
Portugal,4,2016,february,185
United Kingdom,4,2016,february,67
Czech Republic,4,2016,february,21
Russia,4,2016,february,2
Serbia,4,2016,february,2
Sweden,4,2016,february,27
Switzerland,4,2016,february,44
Ukraine,4,2016,february,2
Australia,4,2016,february,13
New Zealand,4,2016,february,2
South Africa,4,2016,march,2
Costa Rica,4,2016,march,46
Cuba,4,2016,march,17
El Salvador,4,2016,march,2
Guatemala,4,2016,march,4
Haiti,4,2016,march,13
Honduras,4,2016,march,11
Panama,4,2016,march,36
Dominican Republic,4,2016,march,2
Trinidad and Tobago,4,2016,march,2
Canada,4,2016,march,59
United States,4,2016,march,1406
Mexico,4,2016,march,84
Argentina,4,2016,march,65
Chile,4,2016,march,8
Colombia,4,2016,march,29
Ecuador,4,2016,march,32
Guyana,4,2016,march,2
Peru,4,2016,march,32
Venezuela,4,2016,march,1664
China,4,2016,march,69
Philippines,4,2016,march,4
India,4,2016,march,13
Israel,4,2016,march,4
Japan,4,2016,march,80
South Korea,4,2016,march,19
Taiwan,4,2016,march,34
Germany,4,2016,march,48
Austria,4,2016,march,2
Belgium,4,2016,march,2
Bulgaria,4,2016,march,2
Denmark,4,2016,march,2
Spain,4,2016,march,32
Finland,4,2016,march,4
France,4,2016,march,17
Greece,4,2016,march,2
Netherlands,4,2016,march,69
Hungary,4,2016,march,2
Ireland,4,2016,march,4
Italy,4,2016,march,13
Norway,4,2016,march,4
Portugal,4,2016,march,8
United Kingdom,4,2016,march,69
Czech Republic,4,2016,march,2
Russia,4,2016,march,2
Sweden,4,2016,march,6
Switzerland,4,2016,march,11
Turkey,4,2016,march,2
Australia,4,2016,march,11
Nigeria,4,2016,april,2
Costa Rica,4,2016,april,32
Cuba,4,2016,april,2
El Salvador,4,2016,april,4
Guatemala,4,2016,april,6
Haiti,4,2016,april,2
Honduras,4,2016,april,4
Panama,4,2016,april,17
Canada,4,2016,april,51
United States,4,2016,april,753
Mexico,4,2016,april,51
Argentina,4,2016,april,8
Chile,4,2016,april,15
Colombia,4,2016,april,46
Ecuador,4,2016,april,13
Paraguay,4,2016,april,2
Peru,4,2016,april,29
Uruguay,4,2016,april,2
Venezuela,4,2016,april,903
China,4,2016,april,27
Cingapura,4,2016,april,2
Israel,4,2016,april,4
Japan,4,2016,april,44
South Korea,4,2016,april,32
Taiwan,4,2016,april,32
Germany,4,2016,april,34
Belgium,4,2016,april,11
Denmark,4,2016,april,2
Spain,4,2016,april,19
Finland,4,2016,april,8
France,4,2016,april,13
Greece,4,2016,april,2
Netherlands,4,2016,april,40
Italy,4,2016,april,13
Latvia,4,2016,april,2
Norway,4,2016,april,2
Portugal,4,2016,april,13
United Kingdom,4,2016,april,42
Russia,4,2016,april,17
Switzerland,4,2016,april,17
Costa Rica,4,2016,may,8
Cuba,4,2016,may,15
El Salvador,4,2016,may,11
Guatemala,4,2016,may,6
Haiti,4,2016,may,6
Nicaragua,4,2016,may,2
Canada,4,2016,may,59
United States,4,2016,may,768
Mexico,4,2016,may,259
Argentina,4,2016,may,15
Bolivia,4,2016,may,4
Chile,4,2016,may,4
Colombia,4,2016,may,42
Ecuador,4,2016,may,23
Guyana,4,2016,may,2
Peru,4,2016,may,61
Suriname,4,2016,may,2
Venezuela,4,2016,may,663
China,4,2016,may,69
Hong Kong,4,2016,may,2
India,4,2016,may,4
Israel,4,2016,may,2
Japan,4,2016,may,80
South Korea,4,2016,may,21
Thailand,4,2016,may,4
Taiwan,4,2016,may,46
Germany,4,2016,may,38
Austria,4,2016,may,11
Belgium,4,2016,may,6
Croatia,4,2016,may,2
Denmark,4,2016,may,4
Slovenia,4,2016,may,2
Spain,4,2016,may,8
Finland,4,2016,may,2
France,4,2016,may,25
Greece,4,2016,may,2
Netherlands,4,2016,may,11
Ireland,4,2016,may,13
Italy,4,2016,may,11
Norway,4,2016,may,4
Portugal,4,2016,may,6
United Kingdom,4,2016,may,38
Czech Republic,4,2016,may,8
Romania,4,2016,may,4
Russia,4,2016,may,2
Australia,4,2016,may,6
New Zealand,4,2016,may,8
South Africa,4,2016,june,6
Costa Rica,4,2016,june,53
Cuba,4,2016,june,21
El Salvador,4,2016,june,2
Guatemala,4,2016,june,2
Haiti,4,2016,june,2
Honduras,4,2016,june,2
Panama,4,2016,june,8
Dominican Republic,4,2016,june,6
Canada,4,2016,june,36
